timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716291662171,109,Add HTTP request-1,200,OK,Thread Group 1-14,text,true,,1898,120,1,1,https://reqres.in/api/users,109,0,59
1716291667144,103,Add HTTP request,200,OK,Thread Group 1-15,text,true,,2695,344,1,1,https://reqres.in/api/users,62,0,4
1716291667144,62,Add HTTP request-0,301,Moved Permanently,Thread Group 1-15,text,true,,797,224,1,1,http://reqres.in/api/users,62,0,4
1716291667206,41,Add HTTP request-1,200,OK,Thread Group 1-15,text,true,,1898,120,1,1,https://reqres.in/api/users,41,0,28
1716291672142,76,Add HTTP request,200,OK,Thread Group 1-16,text,true,,2691,344,1,1,https://reqres.in/api/users,21,0,4
1716291672142,21,Add HTTP request-0,301,Moved Permanently,Thread Group 1-16,text,true,,793,224,1,1,http://reqres.in/api/users,21,0,4
1716291672164,54,Add HTTP request-1,200,OK,Thread Group 1-16,text,true,,1898,120,1,1,https://reqres.in/api/users,53,0,30
1716291677143,82,Add HTTP request,200,OK,Thread Group 1-17,text,true,,2685,344,1,1,https://reqres.in/api/users,31,0,3
1716291677143,31,Add HTTP request-0,301,Moved Permanently,Thread Group 1-17,text,true,,787,224,1,1,http://reqres.in/api/users,31,0,3
1716291677175,50,Add HTTP request-1,200,OK,Thread Group 1-17,text,true,,1898,120,1,1,https://reqres.in/api/users,49,0,25
1716291682148,61,Add HTTP request,200,OK,Thread Group 1-18,text,true,,2685,344,1,1,https://reqres.in/api/users,18,0,4
1716291682148,18,Add HTTP request-0,301,Moved Permanently,Thread Group 1-18,text,true,,787,224,1,1,http://reqres.in/api/users,18,0,4
1716291682169,40,Add HTTP request-1,200,OK,Thread Group 1-18,text,true,,1898,120,1,1,https://reqres.in/api/users,39,0,19
1716291687145,50,Add HTTP request,200,OK,Thread Group 1-19,text,true,,2679,344,1,1,https://reqres.in/api/users,16,0,4
1716291687145,16,Add HTTP request-0,301,Moved Permanently,Thread Group 1-19,text,true,,781,224,1,1,http://reqres.in/api/users,16,0,4
1716291687161,34,Add HTTP request-1,200,OK,Thread Group 1-19,text,true,,1898,120,1,1,https://reqres.in/api/users,30,0,17
1716291692143,75,Add HTTP request,200,OK,Thread Group 1-20,text,true,,2685,344,1,1,https://reqres.in/api/users,30,0,6
1716291692143,30,Add HTTP request-0,301,Moved Permanently,Thread Group 1-20,text,true,,787,224,1,1,http://reqres.in/api/users,30,0,6
1716291692174,44,Add HTTP request-1,200,OK,Thread Group 1-20,text,true,,1898,120,1,1,https://reqres.in/api/users,43,0,19
